slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
5.778067,-0.673173,5.556526,115,80,173,35.688878,0.086294,0
23.027227,-0.837354,23.956754,114,81,188,37.718896,0.461835,0
1.012786,-0.554621,0.330357,65,191,95,11.361864,1.886457,0
0.351896,-0.330569,0.839584,128,85,124,9.191252,0.804222,0
0.175322,0.201752,0.046198,30,282,218,14.718806,0.102316,0
0.948527,-3.974778,0.887111,109,109,60,25.882903,1.696449,1
28.550259,-0.576773,38.706899,202,67,262,47.485292,0.411792,1
1.487776,-0.743888,0.715433,135,160,92,30.750096,1.645065,0
0.243308,0.462013,0.288379,80,134,123,17.861991,2.010013,0
0.69451,-1.423746,0.615614,183,82,81,22.798556,1.586761,1
0.105424,0.12927,0.16885,57,255,309,13.947736,0.835696,0
1.125593,-7.316354,0.454657,90,125,15,24.528231,1.963929,1
42.879051,-4.764339,0.859079,30,181,62,42.375988,1.643839,1
0.709076,-0.50908,2.156659,134,35,98,21.567583,0.065153,0
0.099942,0.201134,0.061593,81,204,150,8.796537,0.111758,0
0.074458,0.310783,0.165583,219,77,222,8.698114,1.919593,0
0.307066,0.753473,0.286147,173,123,290,38.322107,0.380147,0
0.195541,2.194402,0.34623,184,51,147,16.466628,1.665229,0
1.089346,-0.418133,0.682937,137,142,135,19.94059,1.733092,0
1.711653,-1.553654,0.791238,124,129,100,26.005607,1.552386,1
0.177048,0.281461,0.05055,46,194,99,7.185621,0.682399,0
0.135204,-0.297005,0.726822,195,23,73,5.751415,0.12955,0
1.040221,2.328113,0.114802,52,210,83,27.914758,0.122524,1
1.052041,-3.921243,0.627116,52,230,117,17.480157,1.852186,0
2.159604,-0.27738,7.444573,123,102,207,15.078648,0.85392,0
0.492266,0.589637,0.307706,18,275,101,23.438515,1.579762,0
0.311761,-0.111171,1.1784,175,36,155,6.608541,0.174951,0
0.01873,0.258476,0.105341,320,36,124,4.570122,0.260681,0
0.02396,0.13178,0.094696,198,56,147,5.21847,0.248154,0
0.037921,1.397646,0.415338,251,17,99,16.700988,0.09498,0
0.202521,0.289667,0.191236,71,264,205,18.046263,1.716984,0
4.638304,-0.18406,0.375693,131,83,148,8.422455,0.798508,0
0.586763,-2.187024,0.494809,104,47,38,17.547779,0.14623,1
1.016999,3.123641,0.28477,29,119,41,18.997921,0.72935,1
0.51681,2.842457,0.274597,153,127,166,39.513393,0.381545,1
1.45783,-5.393971,0.518526,94,118,43,27.84946,1.229905,1
0.515288,0.788088,0.098619,45,208,116,27.670045,0.087908,0
0.537333,3.051282,0.075929,131,172,146,23.442448,0.101025,1
0.932349,-3.263221,4.207018,126,73,90,30.465427,0.398781,1
0.946973,-2.533154,0.609698,147,130,62,28.036638,1.060196,1
0.213627,1.358906,0.488026,193,119,66,18.569577,2.171815,0
0.425885,0.768736,0.1005,128,276,283,27.701103,0.550344,1
0.843532,-3.01725,1.498039,119,150,166,20.878501,0.099668,1
2.270639,-7.136293,0.706255,58,125,17,43.41055,1.223021,1
1.335768,-6.411684,0.639157,87,119,42,34.198722,1.509083,1
0.128469,1.792442,0.232661,272,66,196,14.340045,1.95592,0
0.833515,-2.778382,0.296126,65,219,48,27.99979,0.072454,1
0.602784,2.698175,0.06911,73,142,82,16.727442,0.123088,1
0.326983,1.704276,1.363387,139,50,48,28.49775,1.811406,0
0.159345,6.652657,0.073841,163,89,167,10.142742,0.851829,0
0.344749,0.64309,0.161978,45,174,53,12.006069,2.552046,0
0.459026,1.568339,0.146353,58,170,31,12.802955,1.843317,0
0.585526,1.694289,0.289226,178,139,191,32.109662,1.438576,1
0.173379,0.274391,0.09894,67,157,178,9.620657,0.717268,0
1.251347,-3.802171,0.400887,105,66,29,23.297024,1.262589,1
2.248141,-3.996695,0.314574,50,114,45,26.443208,0.41058,1
1.82742,-1.227372,0.989855,112,108,165,22.339871,0.062825,1
0.614525,-2.662943,0.37332,96,139,70,22.030706,0.098715,1
0.45866,1.183455,0.379467,128,85,203,47.145861,0.327367,0
0.22411,-0.496243,0.995204,180,65,85,13.59607,0.702999,0
1.621455,-7.517654,1.157227,62,159,124,27.181026,1.189069,1
4.301364,-0.716894,0.55839,84,184,163,17.868866,1.651811,0
0.279996,-3.063489,0.782655,203,76,39,21.842549,0.118071,1
0.012719,0.19248,0.085847,212,29,130,4.45778,0.316569,0
0.122667,1.299151,0.234431,211,66,94,13.13493,0.843361,0
0.095898,1.356267,0.290518,184,23,78,10.490605,0.085716,0
0.460133,0.67834,0.379823,46,254,115,27.446776,1.634812,0
0.330656,-2.197893,1.838983,130,25,32,13.899599,0.277347,1
1.316758,-3.365048,0.202331,96,78,46,28.410925,0.072805,1
0.393742,-1.333644,0.128376,136,85,70,11.352225,0.124944,1
0.171801,0.231769,0.054296,37,245,131,9.453063,0.158224,0
0.537004,-1.974278,1.901193,159,80,96,22.464788,0.481311,1
4.800308,-1.080069,8.442088,49,182,218,13.721248,0.837754,0
0.170013,0.498705,0.072585,58,170,44,7.775806,0.200876,0
0.274382,3.91974,0.146988,93,100,89,13.362417,0.688485,0
0.466902,-4.202116,0.536871,130,104,30,29.01401,0.111754,1
3.144293,-26.726492,0.441349,19,222,4,22.374629,1.809459,1
0.122129,0.194554,0.04977,51,156,116,8.085743,0.113845,0
0.896892,4.014658,0.084232,73,154,94,18.817673,0.549559,1
0.908401,-1.842036,0.115712,109,109,51,21.957728,0.129082,1
0.270606,3.575869,0.451998,171,86,29,30.830291,0.136461,1
0.26725,0.965068,0.120153,94,179,121,12.960853,0.791458,0
0.307705,1.461597,0.432862,195,68,188,27.325187,1.562574,1
1.816776,-2.406001,1.807083,86,77,104,29.032337,0.071261,1
0.775327,-6.325038,12.875817,174,48,59,31.655127,1.754019,1
0.845065,-4.823912,14.498993,161,120,140,34.853601,0.443486,1
0.709641,-2.087179,0.691133,67,144,122,13.285884,0.887092,0
0.133786,6.221031,0.061456,91,163,5,5.394972,1.016709,0
0.345674,-0.47601,1.408777,145,37,82,15.408749,0.102388,0
3.612612,-19.869367,0.21052,13,316,41,14.900166,2.036476,0
1.727017,-3.689536,0.150993,69,187,40,21.509945,0.419228,1
0.930961,1.228869,0.051063,32,226,122,30.695913,0.079486,1
0.788551,-3.30023,0.365531,140,97,76,23.393471,0.223038,1
0.307218,0.582518,0.291755,69,102,139,22.427134,0.618476,1
0.39215,-0.289444,6.788629,146,73,154,10.873914,0.708006,0
0.499488,-2.152963,1.790972,154,85,103,18.789764,0.141713,1
0.243073,-0.369893,0.280421,116,180,167,7.050363,0.687762,0
0.807268,-0.219058,6.88838,253,101,296,14.672098,0.777481,0
0.202617,0.921707,0.672337,181,96,66,18.360815,2.187516,0
0.690162,-0.846005,0.394363,69,209,142,11.583819,0.80229,0
0.434614,-1.936008,1.400881,180,50,70,18.166875,0.154272,1
0.23348,0.349368,0.233099,68,145,198,16.094167,2.018231,0
0.528844,1.813178,0.426116,153,67,213,53.036938,0.347224,1
0.740011,-3.363687,0.075529,122,127,31,19.615672,0.073609,1
1.65764,-4.324279,1.033735,83,77,26,27.226276,1.827691,1
1.13165,-1.028772,0.876249,147,84,91,28.637197,1.296682,1
0.314031,2.437477,0.210089,142,191,157,19.950765,1.924973,0
0.176264,-0.540288,1.557488,187,16,54,7.946722,0.160778,0
2.661238,-1.995928,0.225816,21,247,42,17.016576,0.112639,0
0.578265,-2.497056,3.374339,117,107,117,13.111007,1.994177,0
55.899541,-3.493721,0.497366,17,190,41,22.49554,2.082908,0
0.186765,0.411732,0.190055,106,93,191,19.027393,0.397145,0
1.013122,-1.779809,0.319041,102,39,41,19.711665,0.27824,1
0.396147,0.55352,0.252459,29,256,98,20.033907,1.911719,0
0.06223,0.089197,0.017073,52,202,163,3.313464,0.202898,0
0.207232,0.986425,0.618401,94,180,42,29.447074,0.053053,1
0.968362,-1.750501,18.973023,146,116,164,38.2531,0.405866,1
0.603409,-3.620452,44.46142,252,17,51,37.852554,1.508982,1
0.016601,0.556118,0.167706,260,17,112,7.214082,0.166744,0
1.390031,-2.236136,9.124515,180,33,93,35.343445,1.472689,1
0.765778,-3.19986,0.409068,145,113,43,25.270553,1.049324,1
0.041356,0.440318,0.178239,328,44,83,6.336384,0.213618,0
2.376525,-7.808583,0.739978,60,156,57,31.512415,1.984494,1
0.064819,0.10038,0.046634,79,153,223,6.882794,0.255628,0
0.704276,9.566412,0.995153,151,59,83,51.446234,1.396973,1
0.345158,-12.425698,2.31008,185,38,7,27.200914,1.81529,0
1.725108,-2.749391,0.475146,83,110,34,27.296968,1.401423,1
0.133712,3.591116,0.241022,181,58,172,11.879706,1.969441,0
1.268128,-3.17032,0.365281,70,121,54,22.476274,0.116888,1
1.8352,-3.837236,0.369579,68,188,73,23.38081,1.227159,1
0.340551,0.600019,0.104209,32,222,51,9.36149,1.743557,0
1.908361,-0.313703,0.238934,85,154,147,13.221604,0.029009,0
0.042203,0.167231,0.040729,237,88,280,5.63894,0.159005,0
19.75642,59.269261,0.322896,2,248,2,19.675917,1.93708,1
0.715947,-0.042652,1.366998,249,43,269,4.611148,0.200893,0
3.08116,-0.605228,0.279497,67,228,159,18.692579,0.052034,0
0.01284,0.134364,0.074752,265,36,118,2.707998,0.200559,0
0.499488,-2.152963,1.790972,154,85,103,18.789764,0.141713,1
0.58308,4.767539,0.93648,122,40,111,61.076622,0.323714,1
0.319445,2.092367,0.213357,111,260,78,19.081934,1.887538,0
0.052254,0.155057,0.06552,181,123,236,6.174432,0.69364,0
0.374645,-0.337181,0.042755,76,242,78,4.751561,0.254471,0
1.230896,-2.017302,0.397263,95,137,94,26.033751,0.490103,1
0.844159,-0.084416,0.15354,55,210,144,6.857901,0.10915,0
0.296366,-0.554492,1.532912,267,82,137,15.481192,1.90707,0
0.368396,-4.5882,2.109193,296,21,33,21.419815,0.082307,1
0.71639,4.328187,0.450366,121,109,65,27.008876,1.805718,1
1.192432,-2.673939,1.108882,107,95,107,25.126771,0.311763,1
0.814194,-1.285569,1.307834,245,98,108,40.282687,1.342338,1
0.087545,0.225645,0.125146,112,144,86,6.847927,0.750222,0
2.072754,-0.120409,10.701912,255,37,275,9.961388,0.8065,0
0.225029,5.462058,1.339071,256,31,27,27.459424,0.089182,1
1.505159,-2.028692,0.395942,108,43,64,28.013595,0.064562,1
1.723128,-2.092369,2.039628,155,58,74,42.311203,1.562918,1
0.067715,-0.505607,0.05891,127,174,64,3.493893,0.351372,0
1.522356,-3.177092,0.263909,71,120,43,23.450657,0.431256,1
1.810163,-6.184722,1.920463,106,69,34,46.080276,1.41465,1
0.777119,1.202938,0.040872,40,196,87,22.791179,0.046095,1
