slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.662082,6.444270,0.690759,131,164,-25,32.877820,0.089666,1
0.824958,9.518748,0.766634,137,163,-24,38.283644,0.084881,1
0.824958,9.518748,0.766634,137,163,-24,38.283644,0.084881,1
0.880706,9.484522,0.727387,127,173,-24,44.832675,0.126049,1
0.889602,9.511898,0.721532,126,174,-24,44.828972,0.125745,1
0.678952,8.600064,0.543375,140,159,-21,29.722155,0.165541,1
0.477562,6.512211,0.522154,139,161,-21,25.598468,0.180799,1
0.467157,5.917321,0.531922,140,160,-21,25.613359,0.180263,1
0.483037,6.542956,0.517152,138,162,-21,25.586557,0.179886,1
0.401653,3.347105,0.513901,132,168,-27,22.352165,0.172499,1
0.401653,3.347105,0.513901,132,168,-27,22.352165,0.172499,1
0.096815,2.074609,0.073029,143,157,-19,4.780946,0.832756,1
0.096167,2.060727,0.074042,143,156,-19,4.776458,0.847810,1
0.570790,-1.426975,9.453720,210,90,143,27.976147,0.133381,1
0.574834,-1.427505,8.268028,209,91,143,27.976321,0.134295,1
0.660386,6.603864,0.491000,135,165,-24,28.359578,0.192336,1
0.660386,6.603864,0.491000,135,165,-24,28.359578,0.192336,1
0.460413,6.906191,0.577477,140,160,-21,26.032258,0.178146,1
0.460858,6.866781,0.576411,139,161,-21,26.044843,0.177867,1
0.444841,5.560515,0.548148,138,162,-22,25.301531,0.203214,1
0.444841,5.560515,0.548148,138,162,-22,25.301531,0.203214,1
0.214384,10.790681,0.535713,148,148,-12,15.654216,0.294038,1
0.480144,4.801442,0.487517,135,165,-25,26.965813,0.151187,1
0.453629,4.621347,0.518150,147,152,-25,26.883157,0.134624,1
0.480999,4.777924,0.486752,134,166,-25,26.981694,0.149867,1
0.577538,5.775383,0.580627,135,164,-27,35.552681,0.097606,1
0.581917,5.419101,0.580201,133,165,-27,35.553341,0.097508,1
0.650825,5.450662,0.534792,118,179,-27,29.650348,0.108549,1
0.655894,5.452120,0.534669,117,179,-27,29.651340,0.105908,1
0.507640,5.076400,0.562476,135,165,-25,26.531832,0.121147,1
0.505906,5.059061,0.563962,135,165,-25,26.533154,0.125966,1
0.582226,5.822261,0.517939,135,165,-26,28.927081,0.130588,1
0.585875,5.819688,0.515231,134,166,-26,28.907538,0.130228,1
0.390894,4.886175,0.473005,138,161,-23,22.346343,0.199672,1
0.390913,4.886410,0.472989,138,161,-23,22.346297,0.199672,1
0.433775,-5.005096,0.713799,163,137,27,28.447599,0.169497,1
0.435326,-4.989504,0.715447,162,137,27,28.443340,0.172447,1
0.478476,3.540723,0.469708,128,170,-29,25.312309,0.181335,1
0.478476,3.540723,0.469708,128,170,-29,25.312309,0.181335,1
0.604647,5.668562,0.407654,134,166,-25,29.398946,0.165737,1
0.603256,5.617821,0.409951,133,167,-25,29.506263,0.161635,1
0.588067,5.188825,0.570181,133,167,-29,30.431993,0.133695,1
0.588067,5.188825,0.570181,133,167,-29,30.431993,0.133695,1
0.591938,6.784516,0.583270,136,163,-23,31.193271,0.132465,1
0.594635,6.769688,0.584385,135,163,-23,31.191048,0.141142,1
0.619212,6.545958,0.586663,134,164,-30,33.704529,0.123097,1
0.613281,6.527059,0.584883,135,165,-30,33.704635,0.120870,1
0.481740,5.558543,0.569333,137,163,-23,26.583652,0.142233,1
0.481740,5.558543,0.569333,137,163,-23,26.583652,0.142233,1
0.580335,6.217875,0.687671,136,164,-24,31.683913,0.114995,1
0.583468,6.209761,0.684391,135,165,-24,31.684897,0.114565,1
0.780705,8.364700,0.771765,136,164,-27,40.146143,0.048184,1
0.783739,8.341217,0.769277,135,165,-27,40.145111,0.049051,1
0.743415,7.965164,0.766542,136,164,-27,38.896536,0.109376,1
0.748789,7.969252,0.761914,135,165,-27,38.896210,0.108847,1
0.767053,6.055680,0.722523,131,169,-29,40.005291,0.122966,1
0.772620,6.058969,0.718162,130,170,-29,39.994772,0.122831,1
0.854624,7.121868,0.331182,132,168,-26,40.455058,0.206908,1
0.872881,7.080031,0.333565,128,169,-26,40.464235,0.207555,1
1.659734,16.597335,0.938077,135,165,-25,67.882955,0.116762,1
1.667038,16.559249,0.935993,134,166,-25,67.878141,0.114202,1
0.936123,-1.040137,15.149210,285,15,144,40.511386,0.122511,1
0.936123,-1.040137,15.149210,285,15,144,40.511386,0.122511,1
0.241815,0.608935,0.859058,167,133,-151,44.393928,0.098964,1
0.244051,0.612345,0.852005,166,134,-151,44.498634,0.100008,1
0.676014,6.760142,0.500730,135,165,-26,31.944034,0.129873,1
0.676014,6.760142,0.500730,135,165,-26,31.944034,0.129873,1
0.815180,6.435635,0.567340,131,169,-30,39.122597,0.150855,1
0.815180,6.435635,0.567340,131,169,-30,39.122597,0.150855,1
0.750744,-4.021844,1.081259,178,122,44,45.302129,0.092944,1
0.756295,-4.024569,1.070441,177,123,44,45.336966,0.093901,1
0.489306,5.565853,0.691987,166,129,-56,38.269644,0.128187,1
0.800569,8.577526,0.611302,136,164,-24,38.673204,0.179344,1
0.728151,-0.869265,13.710167,283,17,139,38.120232,0.115713,1
0.800569,8.577526,0.611302,136,164,-24,38.673204,0.179344,1
0.550399,6.879986,0.698337,138,162,-23,34.020825,0.243119,1
0.548366,6.808873,0.699227,137,163,-23,34.011276,0.241860,1
0.436344,4.675113,0.694093,136,164,-25,28.889109,0.123932,1
0.438519,4.667095,0.690787,135,165,-25,28.903318,0.123702,1
0.607380,6.073799,0.580361,135,165,-31,33.985595,0.148683,1
0.608673,6.046156,0.579450,134,166,-31,33.991438,0.149532,1
0.234288,5.835891,2.840352,263,37,-23,41.712173,0.108727,1
0.234288,5.835891,2.840352,263,37,-23,41.712173,0.108727,1
0.513142,6.997390,0.496316,139,161,-20,25.417573,0.167834,1
0.514679,6.971568,0.495075,138,162,-20,25.417793,0.174708,1
0.525197,5.251973,0.571506,135,165,-24,28.115910,0.160033,1
0.525197,5.251973,0.571506,135,165,-24,28.115910,0.160033,1
0.469105,2.219229,0.524378,194,106,-122,42.406182,0.113620,1
0.469105,2.219229,0.524378,194,106,-122,42.406182,0.113620,1
0.625535,6.702162,0.640143,136,164,-27,34.487794,0.102591,1
0.628212,6.685971,0.637820,135,165,-27,34.487709,0.102866,1
0.608057,9.120854,0.627317,140,160,-25,35.444624,0.136116,1
0.613103,9.135233,0.626495,139,160,-25,35.441556,0.139813,1
0.464920,4.358627,0.368077,134,166,-26,23.099065,0.139586,1
0.465629,4.336174,0.368027,133,167,-26,23.066708,0.140420,1
0.654061,-1.102350,94.409629,239,61,149,32.575221,0.173091,1
0.654061,-1.102350,94.409629,239,61,149,32.575221,0.173091,1
0.590959,5.909588,0.605934,135,165,-27,38.780391,0.134699,1
0.590959,5.909588,0.605934,135,165,-27,38.780391,0.134699,1
0.608842,5.885468,0.591275,130,170,-27,30.809627,0.113853,1
0.610526,5.861051,0.590045,129,171,-27,30.805408,0.101898,1
0.271301,-1.695630,0.182936,174,126,65,10.421915,0.442425,1
22.811238,-190.093650,13.583619,168,93,41,651.723761,0.022357,0
22.784215,-189.868459,8.760612,168,132,41,651.909028,0.031955,0
15.230897,-228.463452,10.663797,160,140,43,626.325663,0.126925,0
15.468672,70.868100,5.540922,154,146,-144,902.307669,0.203747,0
15.230897,-228.463452,10.663797,160,140,43,626.325663,0.126925,0
15.520523,122.301722,5.499567,172,128,-144,902.975561,0.214574,0
23.360203,-700.806091,10.438163,155,145,9,568.584897,0.092973,0
23.568152,-702.330921,10.310963,154,146,9,567.719452,0.092207,0
17.430693,-261.460401,12.829471,160,140,48,641.182797,0.190332,0
17.571638,-261.817406,12.670253,159,141,48,641.168504,0.188809,0
18.283553,304.725878,3.017574,141,159,-150,566.988244,0.264693,0
18.185968,387.101314,2.981537,142,158,-149,563.322711,0.264686,0
12.867745,-482.540443,6.782172,154,146,8,401.214931,0.150714,0
40.471125,-77.829086,22.157766,76,221,196,448.002337,0.093281,0
28.474288,-12.824298,23.444990,190,110,179,485.323499,0.171288,0
12.896225,-480.384385,6.891437,153,145,8,400.752599,0.150297,0
39.619998,-65.181286,21.788123,82,217,196,448.021310,0.094051,0
28.562902,-12.864208,23.360664,190,110,179,484.898893,0.172052,0
1.276899,3.360261,1.092910,93,207,-79,84.482474,0.182547,0
1.286758,3.363630,1.087323,92,208,-79,84.470570,0.181315,0
1.255838,-3.767513,2.497948,200,100,67,75.956098,0.500894,0
1.494524,14.945236,1.212564,135,165,-28,72.975348,0.417407,0
1.494959,14.849929,1.213777,134,166,-28,72.890229,0.416172,0
1.732879,15.290106,1.079757,133,167,-32,90.711322,0.474545,0
1.768002,15.392016,1.064390,131,168,-32,90.717923,0.468277,0
8.182507,26.885381,6.682827,96,192,-60,390.603972,0.166243,0
11.498964,26.830916,6.661996,56,193,-60,390.630431,0.169895,0
2.982753,29.827530,6.272612,135,165,-29,227.732126,0.128122,0
2.984590,29.845903,6.271072,135,165,-29,227.715651,0.127628,0
34.385148,-286.542897,20.863983,168,91,40,982.946196,0.022337,0
34.341628,-286.180233,13.146752,168,132,40,983.236627,0.031994,0
0.407871,-39.427502,42.148792,293,7,7,29.216403,0.196480,0
0.728534,-36.426723,0.947194,153,147,7,39.330809,0.290271,0
0.410279,-39.523508,31.539589,292,8,7,29.195694,0.195900,0
0.728534,-36.426723,0.947194,153,147,7,39.330809,0.290271,0
0.502799,8.648135,1.605203,243,57,-102,70.319363,0.206476,0
0.502799,8.648135,1.605203,243,57,-102,70.319363,0.206476,0
0.667707,-10.182535,1.276553,195,105,19,29.401060,0.232125,0
0.595963,-8.820247,1.227962,158,138,21,37.879209,0.182851,0
0.684780,1.667771,0.080400,89,211,-90,14.348536,0.339151,0
0.663422,-24.546596,0.468992,152,146,7,18.837675,0.316404,0
0.600768,-8.192296,2.608381,161,139,80,38.079644,0.264422,0
0.679889,-19.988743,0.467795,152,144,7,18.832457,0.311241,0
0.659909,-24.581618,0.464762,153,147,7,18.842091,0.316652,0
0.606456,-8.269849,2.596194,161,139,80,37.919488,0.266817,0
2.356756,9.064448,0.317309,111,189,-146,90.159908,0.336202,0
2.364267,9.032711,0.320408,110,190,-146,89.779705,0.330125,0
0.895183,-19.182494,1.179873,157,143,15,43.030207,0.193900,0
0.895183,-19.182494,1.179873,157,143,15,43.030207,0.193900,0
1.951714,2.584703,0.321643,12,288,-48,35.209209,0.323400,0
1.951714,2.584703,0.321643,12,288,-48,35.209209,0.323400,0
0.801438,-13.357298,0.769208,159,141,19,32.406410,0.304983,0
0.801438,-13.357298,0.769208,159,141,19,32.406410,0.304983,0
0.557730,-1.834313,0.522672,193,105,68,18.308760,0.470071,0
0.556557,-1.818086,0.525172,192,106,68,18.318304,0.478878,0
1.110727,-8.768898,1.195532,169,131,25,50.466468,0.280097,0
1.120320,-8.785668,1.183515,168,132,25,50.477324,0.278410,0
11.731463,-103.512913,12.729644,167,133,36,576.793014,0.144488,0
11.785319,-103.294858,12.651186,166,134,36,576.818098,0.144514,0
295.384685,2013.986486,892.187959,128,170,-40,31330.187760,0.022534,0
297.277128,2013.376913,887.538344,127,171,-40,31330.187918,0.022534,0
0.277386,-2.755363,0.224178,164,134,52,8.309321,0.719878,0
0.267343,-2.673434,0.800906,165,133,82,11.425490,0.623824,0
0.308794,-2.894948,0.205722,166,132,19,8.858002,0.622554,0
0.557933,-1.952767,0.359716,99,199,82,11.046648,0.619232,0
0.481382,-1.679239,1.053328,193,105,102,16.038311,0.563883,0
0.321834,-23.493870,0.505907,222,75,6,14.187030,0.520343,0
0.481382,-1.679239,1.053328,193,105,102,16.038311,0.563883,0
0.919510,-3.727744,0.843918,187,111,61,27.249198,0.477362,0
0.995791,-49.789533,1.042006,153,145,6,41.353772,0.364507,0
0.358635,-6.933613,2.941334,244,53,31,27.349735,0.397642,0
0.886975,-44.348749,0.794515,153,145,6,29.835404,0.436060,0
0.830317,-35.703611,0.891163,176,122,7,29.127833,0.417364,0
0.886975,-44.348749,0.794515,153,145,6,29.835404,0.436060,0
0.773984,-39.666697,1.048791,209,89,7,30.817039,0.561759,0
0.604768,-6.479661,0.558662,164,134,20,21.905881,0.738618,0
0.600277,-45.020781,0.493442,152,146,5,14.686675,0.909588,0
0.615999,-6.555988,0.546048,163,135,20,22.118256,0.736383,0
0.750937,-15.984232,0.558105,156,142,11,21.607875,0.626030,0
0.700065,-17.501616,0.612397,156,142,11,23.291193,0.635425,0
0.932883,-34.749900,1.146974,153,145,25,34.477226,0.494742,0
0.837520,0.952679,0.121845,11,286,-90,22.640224,0.420542,0
0.485477,-9.102686,0.507612,158,140,17,18.676677,0.643806,0
0.781105,-29.291441,0.641744,154,144,8,25.457286,0.516037,0
0.465854,-8.676539,0.533636,157,140,17,19.721639,0.683427,0
0.781105,-29.291441,0.641744,154,144,8,25.457286,0.516037,0
0.746633,4.479796,0.759417,125,173,-44,32.747244,0.554597,0
0.485588,18.105479,1.084319,254,44,-36,31.580073,0.517509,0
1.179790,11.797897,0.901631,135,163,-23,51.413630,0.356126,0
0.761246,20.839118,1.331557,211,87,-41,50.411877,0.325739,0
1.303146,11.380805,0.844397,116,182,-23,51.558679,0.410194,0
2.672525,-133.626258,1.371068,153,141,6,53.977197,0.047259,0
1.398909,-41.687495,1.003215,154,144,9,34.693011,0.079038,0
1.399037,-41.131688,1.037892,152,142,9,35.675204,0.097663,0
0.918344,-13.683324,0.362663,159,139,13,21.312756,0.219831,0
0.879622,-13.194333,0.879556,160,138,25,33.202706,0.121468,0
1.622165,-80.567549,1.137119,152,146,15,41.035353,0.071095,0
1.590697,-79.534851,1.168963,153,145,15,42.289079,0.071040,0
0.871738,-16.127151,0.732643,156,139,12,29.170164,0.120599,0
0.865941,-16.236394,0.720830,158,140,12,29.489017,0.137751,0
1.112058,-27.801459,0.910647,156,135,15,41.253831,0.101870,0
0.606426,-5.350814,1.190606,167,131,30,33.102909,0.212782,0
1.142597,-28.564926,0.834551,156,141,15,34.347417,0.119834,0
0.604462,-5.297931,1.188155,166,132,30,33.111131,0.210104,0
2.270815,-112.783809,1.345792,152,140,6,46.926693,0.078759,0
2.265130,-112.501479,1.323004,152,143,6,48.668938,0.084712,0
1.425909,-42.492075,0.792396,154,143,8,36.925803,0.121911,0
0.889504,-16.678195,0.710323,158,140,23,35.943751,0.152825,0
1.431425,-42.942743,0.776301,155,143,8,37.059345,0.121207,0
0.885376,-16.490123,0.716627,157,141,23,35.550447,0.154520,0
0.893544,-9.573691,0.954539,164,134,19,31.971647,0.238511,0
0.898098,-9.558325,0.948851,163,135,19,31.947955,0.238929,0
10.840578,-54.202889,0.539916,18,280,10,50.604648,0.160017,0
0.961185,-71.608300,1.199922,151,147,10,48.198341,0.211525,0
1.034313,-38.786750,0.805201,154,144,21,33.500851,0.257751,0
10.672199,-53.360995,0.549167,18,280,10,51.540500,0.204076,0
0.952320,-71.423990,1.211288,152,146,10,48.204882,0.210630,0
1.037005,-38.628422,0.803858,153,145,21,33.405955,0.256182,0
1.455648,-72.782388,1.086730,153,145,18,49.907064,0.251769,0
9.494458,-23.208676,0.571150,31,267,19,61.910211,0.244241,0
1.408180,-69.939623,1.152332,152,145,18,62.598929,0.231180,0
1.495231,-6.061747,3.041047,187,111,112,51.177792,0.492314,0
1.537461,-3.470934,2.829207,215,83,112,50.428784,0.500721,0
0.897436,3.153490,1.426092,181,117,-97,52.537746,0.257376,0
1.467201,5.948110,0.855005,113,185,-97,58.406182,0.429784,0
0.906121,4.839073,1.423380,204,92,-97,52.550169,0.253038,0
1.467201,5.948110,0.855005,113,185,-97,58.406182,0.429784,0
