slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.955178,-14.009276,0.383683,47,193,13,16.884779,1.746182,0
1.810163,-6.184722,1.920463,106,69,34,46.080276,1.414650,1
0.122129,0.194554,0.049770,51,156,116,8.085743,0.113845,0
1.835200,-3.837236,0.369579,68,188,73,23.380810,1.227159,1
0.171909,-10.257219,0.434170,182,49,5,9.185900,0.788707,0
0.348659,5.656026,0.595329,137,156,38,25.409331,1.974081,1
0.107245,1.682924,0.870473,191,20,29,9.846746,2.176171,0
1.090103,-0.170329,2.601597,185,38,187,13.648484,0.095412,0
2.311483,-0.330212,0.453893,88,173,174,14.642153,0.823310,1
0.619340,-3.096699,0.091627,144,121,47,18.094015,0.068999,1
0.208676,1.152687,0.665418,95,178,41,31.340882,0.158474,1
0.777119,1.202938,0.040872,40,196,87,22.791179,0.046095,1
0.775412,3.784009,0.242259,97,140,122,35.551052,0.478597,1
1.505159,-2.028692,0.395942,108,43,64,28.013595,0.064562,1
0.225155,0.716068,0.372231,133,132,131,21.619613,1.664448,0
0.847137,4.197177,0.060757,87,190,57,25.096362,0.054690,1
1.267070,-4.624805,0.083805,93,121,29,25.056485,0.049288,1
0.954972,-2.592066,1.084595,156,133,105,32.991329,1.565635,1
0.069123,0.140686,0.075823,88,96,150,7.455453,0.092756,0
0.608675,-4.793319,3.801974,213,67,51,37.138806,1.681609,1
0.684048,-3.591254,0.190335,175,124,72,25.972873,0.053630,1
0.814194,-1.285569,1.307834,245,98,108,40.282687,1.342338,1
3.057710,-3.640131,0.419424,46,157,62,27.054086,1.180252,1
0.591604,0.871417,0.485724,35,172,99,29.010900,1.791759,0
0.157015,0.453027,0.283529,115,74,154,25.021106,0.072107,0
1.055726,-3.211165,0.444141,97,98,54,24.620593,0.397850,1
1.004077,-5.773444,0.381215,108,64,34,25.823238,0.255109,1
0.279996,-3.063489,0.782655,203,76,39,21.842549,0.118071,1
0.845065,-4.823912,14.498993,161,120,140,34.853601,0.443486,1
0.067715,-0.505607,0.058910,127,174,64,3.493893,0.351372,0
0.255825,-1.613668,0.146179,95,181,73,7.458933,0.917280,0
0.847295,3.212660,0.034832,67,67,51,24.352276,0.046091,1
0.393742,-1.333644,0.128376,136,85,70,11.352225,0.124944,1
0.331941,6.159346,0.733191,158,11,78,19.431404,2.029431,0
1.578814,-3.608718,0.714295,92,119,138,27.078758,0.039349,1
0.256735,-20.153703,0.511020,159,152,41,15.939332,1.929339,0
0.330197,0.431278,0.092972,45,230,182,26.488242,0.062729,0
1.040221,2.328113,0.114802,52,210,83,27.914758,0.122524,1
0.141427,0.208338,0.039092,44,229,128,6.830759,0.195268,0
0.060003,-0.129076,0.208465,271,25,100,3.390650,0.248302,0
0.604205,1.030328,0.124264,67,236,148,24.229844,0.617858,1
0.740011,-3.363687,0.075529,122,127,31,19.615672,0.073609,1
0.192929,0.357179,0.176711,63,121,112,11.761127,0.943540,0
2.072754,-0.120409,10.701912,255,37,275,9.961388,0.806500,0
0.267250,0.965068,0.120153,94,179,121,12.960853,0.791458,0
inf,-1.191264,12.603103,40,184,221,13.802401,0.669617,1
0.884918,-0.353967,6.912291,175,143,262,16.450432,0.808703,0
0.230297,0.474140,0.294240,90,91,164,22.891124,0.648819,1
0.844159,-0.084416,0.153540,55,210,144,6.857901,0.109150,0
0.704276,9.566412,0.995153,151,59,83,51.446234,1.396973,1
0.637640,1.216722,0.171950,89,168,187,40.736355,0.392448,1
1.606698,-3.359460,0.144238,68,185,43,21.028034,0.048618,1
1.595550,-5.265315,0.837635,86,125,111,32.113294,0.257860,1
1.908361,-0.313703,0.238934,85,154,147,13.221604,0.029009,0
1.251347,-3.802171,0.400887,105,66,29,23.297024,1.262589,1
0.184573,-1.338151,0.307457,66,127,22,11.349080,0.147834,0
0.345158,-12.425698,2.310080,185,38,7,27.200914,1.815290,0
0.713994,-3.773969,0.559639,176,122,72,29.171831,0.884828,1
1.131650,-1.028772,0.876249,147,84,91,28.637197,1.296682,1
1.739187,-0.575731,1.138584,193,91,163,27.512149,1.651259,1
0.867765,5.359728,0.280573,88,169,105,32.265960,0.426023,1
0.676766,-3.413256,0.249646,139,117,42,22.440998,0.273948,1
0.624533,-3.840878,0.233891,143,121,46,20.437506,0.458671,1
0.390320,-6.293915,0.385283,137,240,14,18.318468,1.185758,1
0.083944,-0.127531,1.496208,262,50,145,5.788150,0.176529,0
0.066462,2.326182,0.693370,238,24,38,13.585077,0.179547,1
1.030263,-6.475937,0.984107,102,102,44,25.710764,1.114177,1
0.448192,-4.673999,8.015878,240,29,39,38.036808,0.104793,1
0.170013,0.498705,0.072585,58,170,44,7.775806,0.200876,0
0.181369,2.901904,0.293918,150,219,22,16.382336,0.121766,1
1.013122,-1.779809,0.319041,102,39,41,19.711665,0.278240,1
0.121520,0.992410,0.257843,215,43,104,13.373780,0.668645,0
0.463487,-0.386239,0.232914,33,207,184,4.232079,0.218482,0
1.118898,-6.121032,0.712192,110,62,34,27.407093,0.895690,1
8.218014,82.180137,0.400613,9,253,2,27.687696,1.729546,1
0.603409,-3.620452,44.461420,252,17,51,37.852554,1.508982,1
0.186765,0.411732,0.190055,106,93,191,19.027393,0.397145,0
0.630146,-1.512351,0.396620,102,150,52,18.571025,1.336918,0
1.319964,-0.959974,1.706589,171,31,112,23.907575,1.144570,1
0.537333,3.051282,0.075929,131,172,146,23.442448,0.101025,1
0.602784,2.698175,0.069110,73,142,82,16.727442,0.123088,1
0.237459,44.404892,1.296009,186,46,3,17.076168,1.878988,0
0.131416,1.379865,0.254769,171,27,97,12.453861,0.080975,0
0.738569,32.497022,0.222247,43,165,2,11.044629,2.061846,0
0.251670,1.135441,0.187110,151,47,194,17.184204,0.687576,0
0.102030,-1.390836,1.749365,278,56,67,8.787163,0.936209,0
0.503462,48.835859,0.842150,96,96,2,16.816378,1.483875,0
0.248968,1.507640,0.092937,91,212,71,7.410605,2.216364,0
0.239971,9.358883,0.323953,190,5,172,20.049398,2.001480,1
inf,-0.551812,1.637132,93,102,174,18.325732,0.713108,1
1.569689,-2.915137,0.227122,80,173,90,22.134209,0.466900,1
0.087545,0.225645,0.125146,112,144,86,6.847927,0.750222,0
0.202521,0.289667,0.191236,71,264,205,18.046263,1.716984,0
0.223227,0.497968,0.122545,80,127,127,10.569886,0.782415,0
0.383971,0.529108,0.067669,79,325,277,25.046389,0.076839,1
1.725108,-2.749391,0.475146,83,110,34,27.296968,1.401423,1
0.240260,-0.199073,0.564594,128,48,108,5.585186,0.111312,0
0.382400,-1.487110,0.306094,132,89,67,12.892951,0.426591,1
0.499488,-2.152963,1.790972,154,85,103,18.789764,0.141713,1
0.362411,65.234009,2.691443,179,36,2,28.241303,1.741927,1
0.116195,0.410690,0.107914,147,167,159,10.188677,0.814537,0
0.096854,0.257219,0.182127,101,120,90,6.917608,0.851164,0
0.987089,-2.324436,0.791839,104,90,110,20.751660,0.051151,1
0.028153,0.422288,0.154166,280,31,121,6.569399,0.172959,0
0.200892,0.516581,0.262580,99,72,150,21.929977,0.075971,1
1.102369,-1.811035,0.173726,74,86,45,18.291004,0.081970,1
0.958291,-1.299377,0.548102,139,68,65,27.229895,0.332679,1
0.084699,0.141537,0.121953,102,165,220,12.901488,0.421841,0
0.141569,3.029575,1.010116,204,32,77,40.072363,0.077451,1
0.400458,1.209548,0.471880,99,167,126,32.204998,1.824549,0
0.418823,-8.097248,0.102197,61,204,14,8.982697,0.941989,0
0.386062,-3.291684,0.411190,181,77,44,19.585318,0.071264,1
0.459026,1.568339,0.146353,58,170,31,12.802955,1.843317,0
1.576881,-3.445777,0.470394,86,78,35,26.306454,1.130799,1
0.477751,3.709596,1.116919,115,56,33,25.928833,2.112541,1
1.018439,-2.136238,0.311130,127,132,45,24.328952,0.606454,1
1.434500,1.912667,0.050116,3,232,12,8.648032,0.066893,0
1.504666,-3.925216,0.367380,83,82,33,24.457726,0.314143,1
0.233480,0.349368,0.233099,68,145,198,16.094167,2.018231,0
0.067686,0.120642,0.095139,151,221,291,10.316422,0.847465,0
1.304155,-4.381959,0.466261,109,131,80,33.739667,0.108996,1
0.369162,3.494729,0.317488,127,56,118,21.407052,1.908754,0
0.191768,14.670240,3.906068,302,16,10,21.483327,1.848787,0
0.459957,4.139613,0.312779,216,53,213,41.301507,0.411919,1
1.130992,-6.263954,0.750869,85,77,43,23.536473,1.441446,1
2.630229,-0.243010,15.002213,201,40,221,19.278495,0.734188,1
0.153030,0.236297,0.108566,37,158,100,7.363565,0.799757,0
0.065589,0.313888,0.178108,159,97,104,8.921751,0.700087,0
0.422545,6.561870,0.420125,247,40,250,46.916256,0.480384,1
1.916179,-1.551193,0.695876,114,72,75,28.850015,1.356619,1
1.042602,1.563902,0.047887,30,142,78,25.828391,0.055990,1
2.248141,-3.996695,0.314574,50,114,45,26.443208,0.410580,1
0.079170,0.272344,0.143714,183,119,163,8.090611,2.154858,0
0.444910,1.456068,0.133046,75,146,88,12.569672,1.755392,1
0.074458,0.310783,0.165583,219,77,222,8.698114,1.919593,0
1.031720,-1.200854,2.724853,132,32,78,33.526969,0.108248,1
1.711653,-1.553654,0.791238,124,129,100,26.005607,1.552386,1
inf,-3.787122,0.282639,11,196,50,13.707462,0.829972,0
0.213348,0.345287,0.081001,47,193,118,9.693309,1.804498,0
0.200228,0.356547,0.169796,89,118,203,15.601910,0.562667,0
0.133712,3.591116,0.241022,181,58,172,11.879706,1.969441,0
1.137513,-1.239597,1.233745,163,96,92,30.692303,1.547794,1
7.063108,9.417477,0.081562,1,238,4,10.843449,0.572284,0
0.058941,0.977731,0.276766,265,17,124,9.236548,0.855133,0
1.532849,-1.845096,2.085735,119,32,69,29.388062,0.953873,1
